date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:34:24	47136/47136	---M--	200	added ('OK')	text/html	date:Wed,%2004%20Sep%202013%2016:34:24%20GMT	http://acidaus.store.aptoide.com/app/market/com.andro.romba/7/533729/Super%20Mario%20Bros	/home/josecosta/websites/Super%20Mario%20Bros%20Dummy/acidaus.store.aptoide.com/app/market/com.andro.romba/7/533729/Super%20Mario%20Bros.html	(from )
17:34:25	20/20	---M--	200	added ('OK')	text/plain	etag:%222dfaba-0-4df817b15fa11%22	http://acidaus.store.aptoide.com/robots.txt		(from )
17:34:25	11012/11012	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Sep%202013%2001:09:08%20GMT	http://cdn1.aptoide.com/includes/themes/default/images/logotipo.png	/home/josecosta/websites/Super%20Mario%20Bros%20Dummy/cdn1.aptoide.com/includes/themes/default/images/logotipo.png	(from )
17:34:25	1406/1406	---M--	200	added ('OK')	image/x-icon	date:Mon,%2002%20Sep%202013%2022:32:56%20GMT	http://cdn1.aptoide.com/includes/themes/default/favicon.ico	/home/josecosta/websites/Super%20Mario%20Bros%20Dummy/cdn1.aptoide.com/includes/themes/default/favicon.ico	(from )
17:34:25	30746/30746	---M--	200	added ('OK')	text/html	date:Wed,%2004%20Sep%202013%2016:34:25%20GMT	http://www.aptoide.com/feed/acidaus	/home/josecosta/websites/Super%20Mario%20Bros%20Dummy/www.aptoide.com/feed/acidaus.html	(from )
17:34:26	9284/9284	---MC-	200	added ('OK')	text/css	date:Mon,%2002%20Sep%202013%2019:24:39%20GMT	http://cdn1.aptoide.com/includes/themes/default/css/style2.css?timestamp=20130901	/home/josecosta/websites/Super%20Mario%20Bros%20Dummy/cdn1.aptoide.com/includes/themes/default/css/style23f29.css	(from )
17:34:26	8852/8852	---MC-	200	added ('OK')	text/css	date:Mon,%2002%20Sep%202013%2019:25:16%20GMT	http://cdn1.aptoide.com/includes/js/fancybox/jquery.fancybox-1.3.4.css?timestamp=20130901	/home/josecosta/websites/Super%20Mario%20Bros%20Dummy/cdn1.aptoide.com/includes/js/fancybox/jquery.fancybox-1.3.43f29.css	(from )
17:34:27	91146/91146	---MC-	200	added ('OK')	text/css	date:Mon,%2002%20Sep%202013%2019:24:51%20GMT	http://cdn1.aptoide.com/includes/themes/default/css/style.css?timestamp=20130901	/home/josecosta/websites/Super%20Mario%20Bros%20Dummy/cdn1.aptoide.com/includes/themes/default/css/style3f29.css	(from )
17:34:27	3660/3660	---MC-	200	added ('OK')	application/x-javascript	date:Tue,%2027%20Aug%202013%2022:15:12%20GMT	http://cdn1.aptoide.com/includes/js/jquery.color.js?timestamp=20130629	/home/josecosta/websites/Super%20Mario%20Bros%20Dummy/cdn1.aptoide.com/includes/js/jquery.colorcf83.js	(from )
17:34:27	500/500	---M--	200	added ('OK')	application/x-javascript	date:Tue,%2027%20Aug%202013%2022:15:12%20GMT	http://cdn1.aptoide.com/includes/js/bazaar.profiler.js?timestamp=20130629	/home/josecosta/websites/Super%20Mario%20Bros%20Dummy/cdn1.aptoide.com/includes/js/bazaar.profilercf83.js	(from )
17:34:27	1915/1915	---MC-	200	added ('OK')	application/x-javascript	date:Tue,%2027%20Aug%202013%2022:15:12%20GMT	http://cdn1.aptoide.com/includes/js/jquery.ajaxq-0.0.1.js?timestamp=20130629	/home/josecosta/websites/Super%20Mario%20Bros%20Dummy/cdn1.aptoide.com/includes/js/jquery.ajaxq-0.0.1cf83.js	(from )
17:34:27	282/282	---M--	200	added ('OK')	application/x-javascript	date:Tue,%2027%20Aug%202013%2022:15:12%20GMT	http://cdn1.aptoide.com/includes/js/bazaar.locale.js?timestamp=20130629	/home/josecosta/websites/Super%20Mario%20Bros%20Dummy/cdn1.aptoide.com/includes/js/bazaar.localecf83.js	(from )
17:34:28	231/231	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2002%20Sep%202013%2000:50:25%20GMT	http://cdn1.aptoide.com/includes/js/bazaar.apk_list_permissions.js?timestamp=20130629	/home/josecosta/websites/Super%20Mario%20Bros%20Dummy/cdn1.aptoide.com/includes/js/bazaar.apk_list_permissionscf83.js	(from )
