date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:27:42	296/296	URF---	200	added ('OK%20(cached)')	image/png		http://cdn1.aptoide.com/includes/themes/default/images/tabela_1_horiz_baixo.png	/home/josecosta/websites/MeteoEarth%20Dummy/cdn1.aptoide.com/includes/themes/default/images/tabela_1_horiz_baixo.png	(from http://cdn1.aptoide.com/includes/themes/default/css/style.css?timestamp=20130901)
17:27:43	347/347	URF---	200	added ('OK%20(cached)')	image/png		http://cdn1.aptoide.com/includes/themes/default/images/tabela_search_baixo.png	/home/josecosta/websites/MeteoEarth%20Dummy/cdn1.aptoide.com/includes/themes/default/images/tabela_search_baixo.png	(from http://cdn1.aptoide.com/includes/themes/default/css/style.css?timestamp=20130901)
17:27:43	358/358	URF---	200	added ('OK%20(cached)')	image/png		http://cdn1.aptoide.com/includes/themes/default/images/tabela_more_baixo.png	/home/josecosta/websites/MeteoEarth%20Dummy/cdn1.aptoide.com/includes/themes/default/images/tabela_more_baixo.png	(from http://cdn1.aptoide.com/includes/themes/default/css/style.css?timestamp=20130901)
17:27:43	3721/3721	URF---	200	added ('OK%20(cached)')	image/png		http://cdn1.aptoide.com/includes/themes/default/images/upload.png	/home/josecosta/websites/MeteoEarth%20Dummy/cdn1.aptoide.com/includes/themes/default/images/upload.png	(from http://cdn1.aptoide.com/includes/themes/default/css/style.css?timestamp=20130901)
17:27:44	3830/3830	URF---	200	added ('OK%20(cached)')	image/png		http://cdn1.aptoide.com/includes/themes/default/images/upload_mouseover.png	/home/josecosta/websites/MeteoEarth%20Dummy/cdn1.aptoide.com/includes/themes/default/images/upload_mouseover.png	(from http://cdn1.aptoide.com/includes/themes/default/css/style.css?timestamp=20130901)
17:27:46	5427/5427	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://cdn1.aptoide.com/includes/themes/default/images/uploaddrop_mouseover.png	/home/josecosta/websites/MeteoEarth%20Dummy/cdn1.aptoide.com/includes/themes/default/images/uploaddrop_mouseover.png	(from http://htcsense.store.aptoide.com/app/market/com.mg.meteoearth/66048/3754406/MeteoEarth)
17:27:46	5654/5654	URF---	200	added ('OK%20(cached)')	image/png		http://cdn1.aptoide.com/includes/themes/default/images/uploaddrop.png	/home/josecosta/websites/MeteoEarth%20Dummy/cdn1.aptoide.com/includes/themes/default/images/uploaddrop.png	(from http://cdn1.aptoide.com/includes/themes/default/css/style.css?timestamp=20130901)
17:27:46	11622/11622	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://cdn1.aptoide.com/includes/themes/default/images/customize_repo.png	/home/josecosta/websites/MeteoEarth%20Dummy/cdn1.aptoide.com/includes/themes/default/images/customize_repo.png	(from http://htcsense.store.aptoide.com/app/market/com.mg.meteoearth/66048/3754406/MeteoEarth)
17:27:46	2565/2565	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Sep%202013%2001:09:44%20GMT	http://cdn1.aptoide.com/includes/themes/default/images/twitter-follow_me-a.png	/home/josecosta/websites/MeteoEarth%20Dummy/cdn1.aptoide.com/includes/themes/default/images/twitter-follow_me-a.png	(from http://htcsense.store.aptoide.com/app/market/com.mg.meteoearth/66048/3754406/MeteoEarth)
17:27:46	2632/2632	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Sep%202013%2002:41:14%20GMT	http://cdn1.aptoide.com/includes/themes/default/images/twitter-follow_me-a-mouseover.png	/home/josecosta/websites/MeteoEarth%20Dummy/cdn1.aptoide.com/includes/themes/default/images/twitter-follow_me-a-mouseover.png	(from http://htcsense.store.aptoide.com/app/market/com.mg.meteoearth/66048/3754406/MeteoEarth)
17:27:46	1027/1027	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Aug%202012%2001:30:49%20GMT	http://cdn1.aptoide.com/includes/themes/default/images/like.png	/home/josecosta/websites/MeteoEarth%20Dummy/cdn1.aptoide.com/includes/themes/default/images/like.png	(from http://htcsense.store.aptoide.com/app/market/com.mg.meteoearth/66048/3754406/MeteoEarth)
